"","DENINumber","InstitutionName","NoOfChildrenInFundedPlaces","TotalPupils","FullTimePupils","PartTimePupils","NurseryPupils","ReceptionPupils","Year1","Year2","Year3","Year4","Year5","Year6","Year7","Year8","Year9","Year10","Year11","Year12","Year13","Year14","NoOfBoys","NoOfGirls","AddressLine1","AddressLine2","AddressLine3","Town","County","Postcode","Telephone","Management","InstitutionType","Status","DateClosed","Email","DENINumberHyphen"
"1113","5016141","Churchtown Primary School",NA,37,NA,NA,0,0,4,4,7,6,7,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36 MUFF ROAD",NA,NA,"COOKSTOWN","TYRONE","BT80 9XA","028 8676 5075","Controlled","Primary","Open",NA,"info@churchtown.cookstown.ni.sch.uk","501-6141"
"1114","5016178","Donacloney Primary School",NA,228,NA,NA,26,0,28,18,26,36,34,32,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAIRD AVENUE","DONACLONEY",NA,"CRAIGAVON","ARMAGH","BT66 7LP","028 3888 1400","Controlled","Primary","Open",NA,"info@donacloney.donacloney.ni.sch.uk","501-6178"
"1115","5016179","Hamiltonsbawn Primary School",NA,126,NA,NA,0,0,26,13,22,15,26,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113 ANNAREAGH ROAD","HAMILTONSBAWN",NA,"ARMAGH","ARMAGH","BT61 9SA","028 3887 0628","Controlled","Primary","Open",NA,"info@hamiltonsbawnps.hamiltonsbawn.ni.sch.uk","501-6179"
"1116","5016200","Queen Elizabeth II (Pomeroy) Primary School",NA,40,NA,NA,0,0,6,10,7,5,3,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1117","5016221","Orritor Primary School",NA,217,NA,NA,26,0,30,30,28,27,25,22,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"249 ORRITOR ROAD",NA,NA,"COOKSTOWN","TYRONE","BT80 9NE","028 8675 1412","Controlled","Primary","Open",NA,"info@orritor.cookstown.ni.sch.uk","501-6221"
"1118","5016224","Donaghey Primary School",NA,106,NA,NA,0,0,15,16,18,15,9,19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28 KILLYGARVIN ROAD",NA,NA,"DUNGANNON","TYRONE","BT71 4DA","028 8774 8267","Controlled","Primary","Open",NA,"info@donaghey.dungannon.ni.sch.uk","501-6224"
"1119","5016391","Bush Primary School",NA,208,NA,NA,26,0,30,29,19,30,29,21,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 MULLAGHTEIGE ROAD",NA,NA,"DUNGANNON","TYRONE","BT71 6QU","028 8772 5102","Controlled","Primary","Open",NA,"info@bush.dungannon.ni.sch.uk","501-6391"
"1120","5016436","Markethill Primary School",NA,320,NA,NA,0,0,42,50,44,50,44,47,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14 MOWHAN ROAD","MARKETHILL",NA,"ARMAGH","ARMAGH","BT60 1RQ","028 3755 1589","Controlled","Primary","Open",NA,"info@markethillps.markethill.ni.sch.uk","501-6436"
"1121","5016451","Windsor Hill Primary School",NA,215,NA,NA,0,0,25,19,36,30,39,28,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHURCH AVENUE",NA,NA,"NEWRY","DOWN","BT34 1DY","028 3026 4047","Controlled","Primary","Open",NA,"info@windsorhill.newry.ni.sch.uk","501-6451"
"1122","5016543","Moyallon Primary School",NA,202,NA,NA,0,0,31,27,27,32,30,30,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"103 MOYALLON ROAD","PORTADOWN",NA,"CRAIGAVON","ARMAGH","BT63 5JY","028 3883 1649","Controlled","Primary","Open",NA,"info@moyallon.craigavon.ni.sch.uk","501-6543"
"1123","5016599","Fair Hill Primary School",NA,305,NA,NA,25,0,34,46,38,34,38,44,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 TULLYNISKEY ROAD","DROMARA",NA,"DROMORE","DOWN","BT25 2PJ","028 9753 3219","Controlled","Primary","Open",NA,"info@fairhill.kinallen.ni.sch.uk","501-6599"
"1124","5016612","Bronte Primary School",NA,201,NA,NA,25,0,23,28,24,23,24,25,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39 BALLINASKEAGH ROAD","BALLINASKEAGH",NA,"BANBRIDGE","DOWN","BT32 5BL","028 4065 1486","Controlled","Primary","Open",NA,"info@bronte.banbridge.ni.sch.uk","501-6612"
"1125","5016616","Drumadonnell Primary School",NA,235,NA,NA,27,0,21,30,27,35,31,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"133 DROMARA ROAD","BALLYRONEY",NA,"BANBRIDGE","DOWN","BT32 5EY","028 4065 0886","Controlled","Primary","Open",NA,"info@drumadonnell.banbridge.ni.sch.uk","501-6616"
"1126","5016643","Richmond Primary School",NA,125,NA,NA,0,0,22,14,16,20,16,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 OLD OMAGH ROAD","BALLYGAWLEY",NA,"DUNGANNON","TYRONE","BT70 2EZ","028 8556 7952","Controlled","Primary","Open",NA,"info@richmond.ballygawley.ni.sch.uk","501-6643"
"1127","5016658","Orchard County Primary School",NA,169,NA,NA,30,0,14,16,23,20,21,23,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65 BLACKISLAND ROAD","PORTADOWN",NA,"CRAIGAVON","ARMAGH","BT62 1NH","028 3885 2696","Controlled","Primary","Open",NA,"info@orchardcounty.portadown.ni.sch.uk","501-6658"
"1128","5016680","Killyman Primary School",NA,177,NA,NA,0,0,25,26,29,28,25,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 TREWMOUNT ROAD",NA,NA,"DUNGANNON","TYRONE","BT71 6RL","028 8772 3094","Controlled","Primary","Open",NA,"info@killymanps.dungannon.ni.sch.uk","501-6680"
"1129","5030958","St John's Eglish(1) Primary School",NA,73,NA,NA,0,0,13,9,15,10,4,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1130","5030972","St Oliver Plunkett's Primary School",NA,137,NA,NA,0,0,27,19,19,17,15,16,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11 SCHOOL ROAD","FORKHILL",NA,"NEWRY","DOWN","BT35 9SN","028 3088 8374","Roman Catholic Maintained","Primary","Open",NA,"info@stoliverplunketts.forkhill.ni.sch.uk","503-0972"
"1131","5030975","St Malachy's Primary School",NA,76,NA,NA,0,0,8,12,11,9,15,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74 BALLYMOYER ROAD","WHITECROSS",NA,"ARMAGH","ARMAGH","BT60 2LA","028 3750 7428","Roman Catholic Maintained","Primary","Open",NA,"info@stmalachys.ballymoyer.ni.sch.uk","503-0975"
"1132","5031070","St Michael's Primary School",NA,82,NA,NA,0,0,9,12,13,8,12,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86 DUNDALK STREET","NEWTOWNHAMILTON",NA,"NEWRY","DOWN","BT35 0PB","028 3087 8297","Roman Catholic Maintained","Primary","Open",NA,"info@stmichaels.nth.ni.sch.uk","503-1070"
"1133","5031080","Clintyclay Primary School",NA,79,NA,NA,0,0,14,12,11,10,11,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81 CLONMORE ROAD",NA,NA,"DUNGANNON","TYRONE","BT71 6HX","028 8778 4498","Roman Catholic Maintained","Primary","Open",NA,"info@clintyclay.dungannon.ni.sch.uk","503-1080"
"1134","5031086","Clonalig Primary School",NA,198,NA,NA,0,6,35,16,20,30,24,33,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120 CONCESSION ROAD",NA,NA,"NEWRY","DOWN","BT35 9JE","028 3086 1513","Roman Catholic Maintained","Primary","Open",NA,"info@clonalig.culloville.ni.sch.uk","503-1086"
"1135","5031088","Dromintee Primary School",NA,180,NA,NA,0,0,30,20,26,24,28,25,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 BALLYNAMADDA ROAD",NA,NA,"NEWRY","DOWN","BT35 8TD","028 3088 8383","Roman Catholic Maintained","Primary","Open",NA,"info@dromintee.killeavy.ni.sch.uk","503-1088"
"1136","5031103","Tannaghmore Primary School",NA,636,NA,NA,0,0,89,90,89,90,92,94,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAKE STREET","LURGAN",NA,"CRAIGAVON","ARMAGH","BT67 9DY","028 3832 2393","Roman Catholic Maintained","Primary","Open",NA,"info@tannaghmore.lurgan.ni.sch.uk","503-1103"
"1137","5031107","St Teresa's Primary School",NA,54,NA,NA,0,1,5,11,7,6,7,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60 TULLYHERRON ROAD","MOUNTNORRIS",NA,"ARMAGH","ARMAGH","BT60 2UF","028 3750 7397","Roman Catholic Maintained","Primary","Open",NA,"info@stteresas.tullyherron.ni.sch.uk","503-1107"
"1138","5031108","Clea Primary School",NA,113,NA,NA,0,7,8,19,20,18,13,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85 CLAY ROAD",NA,NA,"KEADY","ARMAGH","BT60 3QX","028 3753 1096","Roman Catholic Maintained","Primary","Open",NA,"info@cleaps.keady.ni.sch.uk","503-1108"
"1139","5031110","Christian Brothers' Primary School",NA,580,NA,NA,30,0,84,78,65,86,78,77,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GREENPARK, KEADY ROAD",NA,NA,"ARMAGH","ARMAGH","BT60 4AB","028 3752 4354","Roman Catholic Maintained","Primary","Open",NA,"info@armaghcbs.armagh.ni.sch.uk","503-1110"
"1140","5031126","Mount St Catherine's Primary School",NA,206,NA,NA,0,0,20,22,29,29,40,26,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11 WINDMILL HILL",NA,NA,"ARMAGH","ARMAGH","BT60 4BR","028 3752 2241","Roman Catholic Maintained","Primary","Open",NA,"info@mtstcatherines.armagh.ni.sch.uk","503-1126"
"1141","5031130","Cloughoge Primary School",NA,477,NA,NA,53,0,60,62,62,59,62,59,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1142","5031133","St Malachy's Primary School",NA,200,NA,NA,0,0,32,26,25,29,29,31,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHAPEL LANE",NA,NA,"ARMAGH","ARMAGH","BT61 7EG","028 3752 3847","Roman Catholic Maintained","Primary","Open",NA,"info@stmalachys.armagh.ni.sch.uk","503-1133"
"1143","5031135","St Oliver's Primary School (Carrickrovaddy)",NA,57,NA,NA,0,3,6,8,9,6,9,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 ROXBOROUGH ROAD","NEWTOWNHAMILTON",NA,"NEWRY","DOWN","BT35 0QJ","028 3087 8225","Roman Catholic Maintained","Primary","Open",NA,"info@stolivers.carrickrovaddy.ni.sch.uk","503-1135"
"1144","5031138","St Joseph's Primary School",NA,169,NA,NA,0,0,27,22,23,32,30,16,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50 FARNALOY ROAD",NA,NA,"ARMAGH","ARMAGH","BT60 3LR","028 3753 1890","Roman Catholic Maintained","Primary","Open",NA,"info@stjosephs.madden.ni.sch.uk","503-1138"
"1145","5031148","St Patrick's Primary School",NA,488,NA,NA,53,0,63,67,80,58,58,55,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54 CARRAN ROAD","CROSSMAGLEN",NA,"NEWRY","DOWN","BT35 9JL","028 3086 1667","Roman Catholic Maintained","Primary","Open",NA,"info@stpatricksps.crossmaglen.ni.sch.uk","503-1148"
"1146","5031154","Killean Primary School",NA,122,NA,NA,0,0,18,12,17,15,21,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29 KILLEAN SCHOOL ROAD",NA,NA,"NEWRY","DOWN","BT35 8RX","028 3084 8522","Roman Catholic Maintained","Primary","Open",NA,"info@killean.newry.ni.sch.uk","503-1154"
"1147","5031158","St Patrick's Primary School",NA,463,NA,NA,52,0,62,53,55,63,56,59,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20 BALLINLARE GARDENS","ROONEY'S MEADOW",NA,"NEWRY","DOWN","BT35 6EX","028 3026 3466","Roman Catholic Maintained","Primary","Open",NA,"info@stpatricks.newry.ni.sch.uk","503-1158"
"1148","5031160","St Teresa's Primary School",NA,196,NA,NA,0,0,22,28,26,25,34,29,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36 TARRY LANE",NA,NA,"LURGAN","ARMAGH","BT67 9LQ","028 3832 3425","Roman Catholic Maintained","Primary","Open",NA,"info@stteresas.lurgan.ni.sch.uk","503-1160"
"1149","5031163","St Brigid's Primary School",NA,194,NA,NA,0,0,21,33,27,30,31,28,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63 GLASSDRUMMAN ROAD","CROSSMAGLEN",NA,"NEWRY","DOWN","BT35 9DY","028 3086 1514","Roman Catholic Maintained","Primary","Open",NA,"info@stbrigids.glassdrummond.ni.sch.uk","503-1163"
"1150","5031164","St Mary's Primary School",NA,64,NA,NA,0,0,8,8,9,15,7,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84 MAGHERY ROAD",NA,NA,"DUNGANNON","TYRONE","BT71 6PA","028 3885 1778","Roman Catholic Maintained","Primary","Open",NA,"info@stmarys.maghery.ni.sch.uk","503-1164"
"1151","5031166","St Michael's Primary School",NA,71,NA,NA,0,0,14,10,9,10,7,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62 CLADYMORE ROAD","MOWHAN",NA,"ARMAGH","ARMAGH","BT60 2EP","028 3750 7363","Roman Catholic Maintained","Primary","Open",NA,"info@stmichaels.clady.ni.sch.uk","503-1166"
"1152","5031168","St Patrick's Primary School",NA,222,NA,NA,26,0,28,28,24,23,26,35,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14 DERRYMACASH ROAD","AGHACOMMON, LURGAN",NA,"CRAIGAVON","ARMAGH","BT66 6LG","028 3834 3230","Roman Catholic Maintained","Primary","Open",NA,"info@stpatricks.aghacommon.ni.sch.uk","503-1168"
"1153","5031169","St Brigid's (Drumilly) Primary School",NA,124,NA,NA,0,0,16,16,28,13,17,19,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1154","5031172","St Mary's Primary School",NA,209,NA,NA,30,0,24,18,27,27,26,31,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"123 GRANEMORE ROAD","TASSAGH",NA,"ARMAGH","ARMAGH","BT60 2NJ","028 3753 8018","Roman Catholic Maintained","Primary","Open",NA,"info@stmarys.granemore.ni.sch.uk","503-1172"
"1155","5031176","St Peter's Primary School",NA,364,NA,NA,27,0,57,54,51,45,44,38,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66 DERRYMORE ROAD","CLOUGHREAGH, BESSBROOK",NA,"NEWRY","DOWN","BT35 7DN","028 3083 0455","Roman Catholic Maintained","Primary","Open",NA,"info@stpetersps.cloughreagh.ni.sch.uk","503-1176"
"1156","5031183","St Patrick's Primary School",NA,471,NA,NA,0,0,64,50,71,62,80,73,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOUGHGALL ROAD",NA,NA,"ARMAGH","ARMAGH","BT61 7NN","028 3752 3773","Roman Catholic Maintained","Primary","Open",NA,"info@stpatricksps.armagh.ni.sch.uk","503-1183"
"1157","5031184","St Anthony's Primary School",NA,682,NA,NA,80,0,94,74,76,89,88,89,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TULLYGALLY ROAD","LEGAHORY",NA,"CRAIGAVON","ARMAGH","BT65 5BL","028 3834 1569","Roman Catholic Maintained","Primary","Open",NA,"info@stanthonys.craigavon.ni.sch.uk","503-1184"
"1158","5031188","St Joseph's Primary School",NA,189,NA,NA,0,0,22,25,28,28,26,31,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 SEAFIN ROAD","KILLEAVY",NA,"NEWRY","DOWN","BT35 8LA","028 3084 8331","Roman Catholic Maintained","Primary","Open",NA,"info@stjo.meigh.ni.sch.uk","503-1188"
"1159","5031318","Killowen Primary School",NA,45,NA,NA,0,3,4,8,3,7,9,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88 KILLOWEN OLD ROAD","ROSTREVOR",NA,"NEWRY","DOWN","BT34 3AE","028 4173 8426","Roman Catholic Maintained","Primary","Open",NA,"info@killowen.rostrevor.ni.sch.uk","503-1318"
"1160","5031340","St Joseph's Convent Primary School",NA,485,NA,NA,52,0,61,54,61,64,63,63,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19 EDWARD STREET",NA,NA,"NEWRY","DOWN","BT35 6AN","028 3026 3854","Roman Catholic Maintained","Primary","Open",NA,"info@stjosephsconventps.newry.ni.sch.uk","503-1340"
"1161","5031558","Ballyholland Primary School",NA,209,NA,NA,0,0,33,26,28,31,25,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60 BETTYS HILL ROAD",NA,NA,"NEWRY","DOWN","BT34 2ND","028 3026 3763","Roman Catholic Maintained","Primary","Open",NA,"info@ballyholland.newry.ni.sch.uk","503-1558"
"1162","5031589","Grange Primary School",NA,120,NA,NA,0,0,16,17,19,19,15,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20 LURGANCONARY ROAD","KILKEEL",NA,"NEWRY","DOWN","BT34 4LL","028 4176 2033","Roman Catholic Maintained","Primary","Open",NA,"info@grange.kilkeel.ni.sch.uk","503-1589"
"1163","5031609","Carrick Primary School",NA,402,NA,NA,0,0,63,61,60,51,55,48,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61 BALLYDESLAND ROAD",NA,NA,"WARRENPOINT","DOWN","BT34 3QA","028 4175 2448","Roman Catholic Maintained","Primary","Open",NA,"info@carrick.warrenpoint.ni.sch.uk","503-1609"
"1164","5031653","St Matthew's Primary School Magheramayo",NA,98,NA,NA,0,0,16,14,17,11,14,7,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27 DOLLYS BRAE","BALLYWARD",NA,"CASTLEWELLAN","DOWN","BT31 9AZ","028 4065 0311","Roman Catholic Maintained","Primary","Open",NA,"info@magheramayo.castlewellan.ni.sch.uk","503-1653"
"1165","5031667","St Patrick's Primary School",NA,111,NA,NA,0,6,18,7,11,16,20,19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12 BALLYMACBREDAN ROAD","MAGHERALIN",NA,"CRAIGAVON","ARMAGH","BT67 0QU","028 3834 1400","Roman Catholic Maintained","Primary","Open",NA,"info@stpatricks.magheralin.ni.sch.uk","503-1667"
"1166","5031669","St John's Primary School",NA,136,NA,NA,0,0,20,19,20,18,21,21,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42A CASTLE HILL","GILFORD",NA,"CRAIGAVON","ARMAGH","BT63 6HH","028 3883 1555","Roman Catholic Maintained","Primary","Open",NA,"info@stjohns.gilford.ni.sch.uk","503-1669"
"1167","5031694","Holy Cross Primary School",NA,97,NA,NA,0,0,11,13,18,16,9,18,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 ATTICAL BOG ROAD","KILKEEL",NA,"NEWRY","DOWN","BT34 4HT","028 4176 3743","Roman Catholic Maintained","Primary","Open",NA,"info@holycross.kilkeel.ni.sch.uk","503-1694"
"1168","5031695","St Mary's Primary School",NA,146,NA,NA,0,0,23,21,21,14,30,15,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 SCHOOL ROAD","JERRETTSPASS",NA,"NEWRY","DOWN","BT34 1SX","028 3082 1503","Roman Catholic Maintained","Primary","Open",NA,"info@stmarys.barr.ni.sch.uk","503-1695"
"1169","5031697","St Patrick's Primary School",NA,379,NA,NA,26,0,49,44,47,50,54,46,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 CHAPEL HILL","MAYOBRIDGE",NA,"NEWRY","DOWN","BT34 2EX","028 3085 1294","Roman Catholic Maintained","Primary","Open",NA,"info@stpatricks.mayobridge.ni.sch.uk","503-1697"
"1170","5032208","Ballylifford Primary School",NA,70,NA,NA,0,0,10,8,9,15,6,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"142 BALLINDERRY BRIDGE ROAD",NA,NA,"COOKSTOWN","TYRONE","BT80 0AY","028 7941 8388","Roman Catholic Maintained","Primary","Open",NA,"info@ballylifford.cookstown.ni.sch.uk","503-2208"
"1171","5032262","Lissan Primary School",NA,113,NA,NA,0,0,17,16,10,23,15,17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 CLAGGAN ROAD",NA,NA,"COOKSTOWN","TYRONE","BT80 9XE","028 8676 4581","Roman Catholic Maintained","Primary","Open",NA,"info@lissan.cookstown.ni.sch.uk","503-2262"
"1172","5032306","St Malachy's Primary School  Glencull",NA,98,NA,NA,0,0,12,17,8,18,16,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"107 OMAGH ROAD","SESKILGREEN",NA,"DUNGANNON","TYRONE","BT70 2DB","028 8556 8344","Roman Catholic Maintained","Primary","Open",NA,"info@stmalachys.glencull.ni.sch.uk","503-2306"
"1173","5032387","Derrylatinee Primary School",NA,85,NA,NA,0,0,16,13,12,14,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50 DERRYLATINEE ROAD",NA,NA,"DUNGANNON","TYRONE","BT70 1PS","028 8772 4403","Roman Catholic Maintained","Primary","Open",NA,"info@derrylatinee.dungannon.ni.sch.uk","503-2387"
"1174","5032463","Blessed Patrick O'loughran Primary School",NA,101,NA,NA,0,0,13,13,11,22,12,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"136 OLD CAULFIELD ROAD","CASTLECAULFIELD",NA,"DUNGANNON","TYRONE","BT70 3NQ","028 8776 7311","Roman Catholic Maintained","Primary","Open",NA,"info@castlecaulfield.dungannon.ni.sch.uk","503-2463"
"1175","5032558","Laghey Primary School",NA,100,NA,NA,0,0,13,18,10,17,14,10,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 TAMNAMORE ROAD",NA,NA,"DUNGANNON","TYRONE","BT71 6RJ","028 8772 5142","Roman Catholic Maintained","Primary","Open",NA,"info@laghey.dungannon.ni.sch.uk","503-2558"
"1176","5032585","Edendork Primary School",NA,286,NA,NA,0,0,35,36,30,41,36,58,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"181 COALISLAND ROAD",NA,NA,"DUNGANNON","TYRONE","BT71 4DP","028 8774 0534","Roman Catholic Maintained","Primary","Open",NA,"info@edendork.dungannon.ni.sch.uk","503-2585"
"1177","5032591","Roan St Patrick's Primary School",NA,151,NA,NA,0,0,22,29,19,30,14,20,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114 KILLYLISS ROAD",NA,NA,"DUNGANNON","TYRONE","BT70 1LE","028 3754 8355","Roman Catholic Maintained","Primary","Open",NA,"info@roan.eglish.ni.sch.uk","503-2591"
"1178","5032592","St Mary's Primary School",NA,78,NA,NA,0,0,10,12,9,13,12,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 LISNAGOWAN ROAD",NA,NA,"DUNGANNON","TYRONE","BT70 3LH","028 8776 1515","Roman Catholic Maintained","Primary","Open",NA,"info@stmarys.lisbuoy.ni.sch.uk","503-2592"
"1179","5032624","St Macartan's Primary School",NA,108,NA,NA,0,0,15,18,15,19,13,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 BALLAGH ROAD",NA,NA,"CLOGHER","TYRONE","BT76 0HE","028 8554 8350","Roman Catholic Maintained","Primary","Open",NA,"info@stmaccartans.clogher.ni.sch.uk","503-2624"
"1180","5032678","St Patrick's Primary School",NA,220,NA,NA,0,0,34,31,27,31,33,34,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 POMEROY ROAD",NA,NA,"DUNGANNON","TYRONE","BT70 3HG","028 8776 1469","Roman Catholic Maintained","Primary","Open",NA,"info@stpatricksps.donaghmore.ni.sch.uk","503-2678"
"1181","5032692","St Mary's Primary School",NA,90,NA,NA,0,0,12,14,13,22,9,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22 WEST STREET",NA,NA,"STEWARTSTOWN","TYRONE","BT71 5HT","028 8773 8388","Roman Catholic Maintained","Primary","Open",NA,"info@stmarys.stewartstown.ni.sch.uk","503-2692"
"1182","5032697","St Patrick's Primary School",NA,77,NA,NA,0,0,13,6,15,14,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32 AUGHADARRAGH ROAD",NA,NA,"AUGHER","TYRONE","BT77 0ET","028 8554 8472","Roman Catholic Maintained","Primary","Open",NA,"info@stpatricks.aughadarragh.ni.sch.uk","503-2697"
"1183","5032698","St Brigid's Primary School",NA,122,NA,NA,0,0,14,18,16,16,21,20,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166 MOUNTJOY ROAD",NA,NA,"COALISLAND","TYRONE","BT71 5DY","028 8773 8261","Roman Catholic Maintained","Primary","Open",NA,"info@stbrigids.mountjoy.ni.sch.uk","503-2698"
"1184","5032699","St Mary's Primary School",NA,173,NA,NA,0,0,25,23,21,23,28,31,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40 DUNNAMORE ROAD",NA,NA,"COOKSTOWN","TYRONE","BT80 9NT","028 8675 1357","Roman Catholic Maintained","Primary","Open",NA,"info@stmarys.dunamore.ni.sch.uk","503-2699"
"1185","5032703","St Peter's Primary School",NA,188,NA,NA,30,0,16,22,24,19,24,28,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24 ARDBOE ROAD","MOORTOWN",NA,"COOKSTOWN","TYRONE","BT80 0HT","028 8673 7565.","Roman Catholic Maintained","Primary","Open",NA,"info@stpeters.moortown.ni.sch.uk","503-2703"
"1186","5032713","Derrychrin Primary School",NA,185,NA,NA,0,0,20,24,25,30,32,29,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 DRUMENNY ROAD","COAGH",NA,"COOKSTOWN","TYRONE","BT80 0BX","028 8673 7456","Roman Catholic Maintained","Primary","Open",NA,"info@derrychrin.cookstown.ni.sch.uk","503-2713"
"1187","5032714","Holy Family Primary School, Aughamullan",NA,69,NA,NA,0,0,8,9,12,13,5,16,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88 COOLE ROAD",NA,NA,"DUNGANNON","TYRONE","BT71 5DR","028 8774 0461","Roman Catholic Maintained","Primary","Open",NA,"info@aughamullan.dungannon.ni.sch.uk","503-2714"
"1188","5032715","St John's Primary School",NA,198,NA,NA,0,0,28,32,28,31,30,26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 BENBURB ROAD","MOY",NA,"DUNGANNON","TYRONE","BT71 7SQ","028 8778 4489","Roman Catholic Maintained","Primary","Open",NA,"info@stjohns.moy.ni.sch.uk","503-2715"
"1189","5032717","St Patrick's Primary School",NA,240,NA,NA,0,0,32,37,25,39,27,41,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75 MULLANAHOE ROAD",NA,NA,"DUNGANNON","TYRONE","BT71 5AU","028 8673 7261","Roman Catholic Maintained","Primary","Open",NA,"info@stpatricks.ardboe.ni.sch.uk","503-2717"
"1190","5032729","St John's Primary School",NA,212,NA,NA,0,0,32,33,31,30,33,20,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56 REENADERRY ROAD","COALISLAND",NA,"DUNGANNON","TYRONE","BT71 4QN","028 8774 0689","Roman Catholic Maintained","Primary","Open",NA,"info@stjohns.kingsisland.ni.sch.uk","503-2729"
